COLLEGE,Acceptance Rate
Stanford University,10.33
Rensselaer Polytechnic Institute,84.0
Brandeis University,50.5
Cornell University,10.0
Harvard University,15.25
Princeton University,16.33
Massachusetts Institute of Technology,11.67
Yale University,9.33
University of Pennsylvania,12.25
California Institute of Technology,9.67
Duke University,9.0
Brown University,11.0
Johns Hopkins University,13.0
Northwestern University,12.0
Columbia University,14.33
University of Chicago,10.67
"University of California, Berkeley",12.67
"University of California, Los Angeles",12.0
Rice University,12.0
Dartmouth College,12.0
Vanderbilt University,12.33
University of Notre Dame,20.33
University of Michigan--Ann Arbor,22.0
Georgetown University,17.0
University of North Carolina--Chapel Hill,21.67
Carnegie Mellon University,17.67
Emory University,19.67
University of Virginia,24.0
Washington University in St Louis,17.67
University of California--Davis,34.0
University of California--San Diego,22.67
University of Florida,35.0
University of Southern California,25.0
University of Texas--Austin,39.75
Georgia Institute of Technology,17.67
University of California--Irvine,19.0
New York University,21.67
University of California--Santa Barbara,27.0
University of Illinois--Urbana-Champaign,48.33
University of Wisconsin--Madison,58.0
Boston College,18.67
Rutgers University--New Brunswick,84.0
Tufts University,11.33
University of Washington,50.0
Boston University,22.67
Ohio State University,67.67
Purdue University--Main Campus,55.0
University of Maryland--College Park,57.67
Lehigh University,38.67
Texas A&M University,77.67
University of Georgia,49.0
University of Rochester,47.33
Virginia Tech,65.67
Wake Forest University,16.33
Case Western Reserve University,21.0
Florida State University,45.33
Northeastern University,11.67
University of Minnesota--Twin Cities,87.67
William & Mary,30.0
Stony Brook University--SUNY,65.33
University of Connecticut,64.67
Michigan State University,86.33
North Carolina State University,53.33
The Pennsylvania State University--University Park,80.67
Santa Clara University,61.0
University of California--Merced,91.33
George Washington University,64.33
Syracuse University,70.0
University of Massachusetts--Amherst,81.0
University of Miami,23.0
Villanova University,32.33
University of Pittsburgh,55.67
Binghamton University--SUNY,48.67
Indiana University--Bloomington,66.8
Tulane University,27.67
Colorado School of Mines,70.5
Pepperdine University,47.25
Stevens Institute of Technology,50.33
University at Buffalo--SUNY,78.33
University of California--Riverside,66.33
University of Delaware,74.0
Rutgers University--Newark,86.67
University of California--Santa Cruz,48.0
University of Illinois--Chicago,70.0
Worcester Polytechnic Institute,57.0
Clemson University,74.67
Marquette University,88.0
New Jersey Institute of Technology,71.67
Fordham University,72.0
Southern Methodist University,69.33
Temple University,87.33
University of South Florida,46.33
Auburn University,45.33
Baylor University,67.33
Gonzaga University,81.33
Loyola Marymount University,59.33
University of Iowa,86.33
Drexel University,85.0
Illinois Institute of Technology,71.0
Rochester Institute of Technology,76.67
Rutgers University--Camden,92.0
Texas Christian University,71.67
