chances,COLLEGE,Student GPA,Student SAT,Student EC
13.0,Stanford University,3.9,1550,3
8.0,Stanford University,3.9,1430,3
84.0,Rensselaer Polytechnic Institute,3.8,1410,3
40.0,Brandeis University,3.8,1390,1
8.0,Cornell University,3.9,1390,5
20.0,Harvard University,4.0,1570,5
16.0,Princeton University,3.9,1550,5
8.0,Princeton University,3.7,1600,2
10.0,Massachusetts Institute of Technology,4.0,1510,3
7.0,Massachusetts Institute of Technology,3.85,1580,3
18.0,Massachusetts Institute of Technology,4.0,1590,5
13.0,Harvard University,3.85,1600,4
8.0,Harvard University,3.9,1410,4
42,Baylor University,3.7,1400,3
48,Baylor University,3.9,1500,4
10.0,Stanford University,3.8,1600,5
15.0,Yale University,4.0,1550,5
5.0,Yale University,3.85,1440,3
8.0,Yale University,3.85,1600,4
19.0,University of Pennsylvania,4.0,1600,4
14.0,University of Pennsylvania,3.8,1590,5
10.0,University of Pennsylvania,4.0,1450,3
6.0,University of Pennsylvania,3.8,1390,3
3.0,California Institute of Technology,3.8,1390,3
7.0,California Institute of Technology,3.85,1550,3
19.0,California Institute of Technology,4.0,1600,5
18.0,Duke University,4.0,1600,5
6.0,Duke University,3.8,1510,3
3.0,Duke University,3.7,1440,5
3.0,Brown University,3.7,1440,5
17.0,Brown University,4.0,1540,5
13.0,Brown University,3.9,1600,3
15.0,Johns Hopkins University,3.9,1600,3
19.0,Johns Hopkins University,4.0,1540,5
5.0,Johns Hopkins University,3.7,1440,5
4.0,Northwestern University,3.7,1440,5
14.0,Northwestern University,4.0,1530,3
18.0,Northwestern University,4.0,1590,4
17.0,Columbia University,4.0,1590,4
7.0,Columbia University,3.8,1590,4
19.0,Columbia University,4.0,1600,5
20.0,Cornell University,4.0,1600,5
5.0,Cornell University,3.8,1470,3
7.0,Cornell University,3.7,1580,3
12.0,University of Chicago,3.7,1580,3
15.0,University of Chicago,4.0,1540,3
5.0,University of Chicago,3.5,1600,5
14.0,"University of California, Berkeley",4.0,1540,3
16.0,"University of California, Berkeley",4.0,1540,5
8.0,"University of California, Berkeley",3.8,1600,3
6.0,"University of California, Los Angeles",3.8,1600,3
14.0,"University of California, Los Angeles",4.0,1570,3
16.0,"University of California, Los Angeles",4.0,1570,5
19.0,Rice University,4.0,1570,5
13.0,Rice University,3.9,1570,3
5.0,Rice University,3.65,1600,3
13.0,Dartmouth College,3.9,1550,3
17.0,Dartmouth College,4.0,1600,3
6.0,Dartmouth College,3.7,1510,5
18.0,Vanderbilt University,4.0,1600,3
8.0,Vanderbilt University,4.0,1500,1
11.0,Vanderbilt University,3.8,1530,3
13.0,University of Notre Dame,3.8,1530,3
23.0,University of Notre Dame,4.0,1590,3
25.0,University of Notre Dame,4.0,1600,5
28.0,University of Michigan--Ann Arbor,4.0,1600,5
21.0,University of Michigan--Ann Arbor,3.9,1510,3
17.0,University of Michigan--Ann Arbor,3.8,1450,3
8.0,Georgetown University,3.8,1450,3
19.0,Georgetown University,3.9,1550,5
24.0,Georgetown University,4.0,1600,5
31.0,University of North Carolina--Chapel Hill,4.0,1600,5
21.0,University of North Carolina--Chapel Hill,3.85,1530,3
13.0,University of North Carolina--Chapel Hill,3.7,1590,4
15.0,Carnegie Mellon University,3.7,1590,4
16.0,Carnegie Mellon University,4.0,1520,3
22.0,Carnegie Mellon University,4.0,1600,5
24.0,Emory University,4.0,1600,5
19.0,Emory University,4.0,1510,3
16.0,Emory University,3.7,1590,3
11.0,University of Virginia,3.7,1590,3
28.0,University of Virginia,4.0,1500,3
33.0,University of Virginia,4.0,1600,5
22.0,Washington University in St Louis,4.0,1600,5
18.0,Washington University in St Louis,4.0,1540,3
13.0,Washington University in St Louis,4.0,1440,3
41.0,University of California--Davis,4.0,1440,5
21.0,University of California--Davis,3.75,1600,5
40.0,University of California--Davis,4.0,1300,5
24.0,University of California--San Diego,4.0,1300,5
18.0,University of California--San Diego,3.8,1600,5
26.0,University of California--San Diego,4.0,1600,3
38.0,University of Florida,4.0,1600,3
34.0,University of Florida,4.0,1500,3
33.0,University of Florida,3.8,1550,4
21.0,University of Southern California,3.8,1550,4
25.0,University of Southern California,4.0,1550,4
29.0,University of Southern California,4.0,1590,5
51.0,University of Texas--Austin,4.0,1590,5
45.0,University of Texas--Austin,3.9,1510,3
41.0,University of Texas--Austin,3.7,1460,3
22.0,University of Texas--Austin,3.4,1280,3
4.0,Georgia Institute of Technology,3.4,1280,3
22.0,Georgia Institute of Technology,3.9,1500,3
27.0,Georgia Institute of Technology,4.0,1550,4
23.0,University of California--Irvine,4.0,1550,4
27.0,University of California--Irvine,4.0,1600,4
7.0,University of California--Irvine,3.7,1440,3
16.0,New York University,3.7,1440,3
22.0,New York University,4.0,1510,3
27.0,New York University,4.0,1600,5
36.0,University of California--Santa Barbara,4.0,1600,5
28.0,University of California--Santa Barbara,4.0,1480,5
17.0,University of California--Santa Barbara,3.8,1420,3
